,Total_Reward
0,-262.275
1,74.55501
2,65.39992
3,-53.915676
4,62.63443
5,-340.99872
6,37.13356
7,74.82628
8,53.390743
9,-54.13194
10,-54.046753
11,-54.027542
12,-15929.263
13,65.37424
14,-54.737953
15,-257.9897
16,-83267.34
17,58.690536
18,-61.40997
19,66.64517
20,-11926.776
21,-18368.846
22,-120083.33
23,57.014755
24,-54.25556
25,-54.25268
26,-251189.56
27,76.80094
28,-197.01514
29,-54.006508
30,-54.06695
31,80.997215
32,-54.04536
33,-103.5359
34,-1954.9065
35,74.66803
36,-54.117523
37,-328.60657
38,-54.24269
39,-53.938747
40,72.23329
41,-263.47195
42,-56.947628
43,44.214973
44,-63.447693
45,-54.216293
46,-196.6528
47,-54.18082
48,-54.029575
49,-85.931496
50,-54.5248
51,-57.78158
52,-196.97833
53,-71.07118
54,-54.115345
55,-53.87606
56,-54.281456
57,74.855995
58,-195.42581
59,85.1478
60,-205.01929
61,-54.414253
62,-54.091953
63,-320.12683
64,-53.808594
65,-420.46613
66,-54.266212
67,-12303.032
68,-131.38953
69,-54.397484
70,-54.217285
71,-53.979492
72,-1367.3234
73,74.135956
74,-131.43279
75,-53.92978
76,64.922104
77,-54.66579
78,76.70679
79,-81.7308
80,70.06296
81,-54.103413
82,61.743076
83,73.91214
84,-53.901764
85,70.84736
86,-54.192444
87,-53.769558
88,-53.985443
89,72.74712
90,-53.894295
91,-54.33111
92,80.72582
93,60.68573
94,-58.141632
95,-84.583145
96,-54.008263
97,-444.0671
98,64.51311
99,-53.980537
100,-54.0306
101,-293.82425
102,-53.783722
103,-54.239365
104,-95.33615
105,-54.13661
106,-57.578117
107,-53.94035
108,-88.41765
109,-76.18898
110,-58.252903
111,-2026.475
112,-90.13861
113,-54.14778
114,-54.213852
115,-424.2438
116,-75.51724
117,-376.36124
118,-378.54187
119,-258.5077
120,76.48442
121,-304.4306
122,-54.02296
123,77.0802
124,-54.089687
125,-343.67993
126,-54.285213
127,80.13636
128,-53.88565
129,78.256836
130,-54.031036
131,-53.75922
132,-66.73662
133,-304.374
134,-57.975117
135,-64.644615
136,-280.26785
137,-275.56824
138,-53.871082
139,-54.02362
140,-53.725647
141,34.786026
142,-53.92757
143,82.90274
144,64.78432
145,-2216.36
146,-54.2058
147,49.090153
148,62.54095
149,74.56729
150,79.58665
151,-53.789703
152,-7359.6875
153,66.06581
154,-952.09216
155,81.31646
156,-522.79425
157,-54.53323
158,-53.968964
159,-516.05927
160,-54.460648
161,-81.34569
162,-316.62103
163,-196.94406
164,-196.92273
165,-53.927795
166,-54.166794
167,-305.76822
168,64.43335
169,-64.85226
170,-62.606415
171,-54.326626
172,20.153072
173,-50858.734
174,73.82929
175,-53.952286
176,177.84744
177,-53.982838
178,-54.037144
179,-8777.415
180,66.04607
181,70.71843
182,76.44008
183,-393.73645
184,62.379692
185,-53.9683
186,-142.1774
187,-53.94053
188,-57.667667
189,-54.345604
190,68.862236
191,-53.761562
192,-53.95085
193,81.47933
194,-58.577156
195,-451.6099
196,59.77828
197,-53.844227
198,-189.18405
199,-353.06537
200,-53.88298
201,-54.051018
202,-191.89445
203,-71.70187
204,-67.40248
205,77.46893
206,-54.578735
207,-197.37172
208,-53.949688
209,36.722866
210,-197.24544
211,-197.2649
212,85.37045
213,-53.80371
214,-53.903744
215,-53.779488
216,-53.782375
217,-53.915283
218,-54.76195
219,71.10076
220,-57.291027
221,-54.119488
222,64.73351
223,-53.91992
224,69.52797
225,80.57823
226,81.42565
227,-435.4493
228,-233.50757
