,Total_Reward
0,-199.42252
1,-117.53934
2,-1089.7502
3,-2571.3765
4,-745.5775
5,-58.038082
6,-54.516953
7,-197.99817
8,-54.836075
9,-786.0773
10,-313.08655
11,-32842.45
12,-2133.0464
13,-59.45758
14,-53.866253
15,-1189.4807
16,-63.113564
17,-739.5902
18,-54.263195
19,-1322.7498
20,-64.29422
21,-54.435635
22,-955.22705
23,-912.1673
24,-54.409153
25,-54.56789
26,-75.708664
27,-918.6239
28,-54.64936
29,-1038.5924
30,-1176.7521
31,-54.282955
32,-666.68396
33,-806.9264
34,-54.419685
35,-899.8418
36,-68.36128
37,-54.73674
38,-1455.8557
39,-96.892715
40,-1771.6283
41,-805842.2
42,-54.30062
43,-64.15278
44,-82.2387
45,-54.70086
46,-63.835728
47,33.153206
48,-58.451023
49,-7494.7256
50,-54.75655
51,-33544.1
52,-161075.2
53,-54.754616
54,-43200.9
55,-29.376228
56,-54.873566
57,-54.614567
58,-401.44772
59,-104410.555
60,-90584.51
61,-54.58401
62,-81.14305
63,-54.584465
64,-59.25202
65,-54.526245
66,-86.1866
67,-84.42338
68,-492892.66
69,-54.63131
70,-114841.48
71,-197.42224
72,-54.935684
73,-186571.55
74,-185937.52
75,-197.27249
76,17.238968
77,-54.88113
78,-4971.8706
79,-197.26802
80,-54.83015
81,-59.255787
82,-197.21298
83,-17573.463
84,-59835.844
85,-42923.03
86,-48477.676
87,-135752.23
88,-3256.8125
89,-54.6835
90,-197.3634
91,-197.2636
92,-197.42625
93,-83.94911
94,-40305.336
95,-7096.225
96,-197.19287
97,-197.3215
98,-313689.9
99,-51661.457
100,-54.463676
101,-206603.8
102,-4042.0408
103,-3936.4055
104,-196.54103
105,-128.86053
106,-255.61452
107,-15255.209
108,-196.62561
109,-54.421516
110,-523.41785
111,-54.670425
112,-54.65819
113,-19169.824
114,-195.74162
115,-60.188515
116,-70.08052
117,-425.1742
118,-54.778183
119,-515.93896
120,-196.7615
121,-54.559166
122,-194.8789
123,-63.630394
124,-54.601124
125,-29364.768
126,-54.724037
127,-196.69048
128,-54.355446
129,-54.638725
130,-481.93475
131,-54.828033
132,-196.64667
133,-189.31786
134,-54.57664
135,-54.941387
136,-38887.8
137,-625.2087
138,-197.42465
139,-115.700485
140,-54.949844
141,-197.16284
142,-197.3577
143,-125010.805
144,-193.06741
145,-423.31104
146,-38526.434
147,-197.13278
148,-196.81335
149,-59.7811
150,-26699.158
151,-347.69916
152,-453.4938
153,-197.1215
154,-197.14276
155,-59.713005
156,-70.41222
157,-1609.3778
158,-54.919407
159,-2693.3586
160,-54.919136
161,-75.21289
162,-197.18724
163,-196.94196
164,-468.63898
165,-197.29529
166,-197.52339
167,-54.42487
168,-379.5438
169,-197.17776
170,-196.22829
171,-197.13242
172,-63.873444
173,-196.21678
174,-495.19757
175,-197.1138
176,-489.94986
177,-196.33443
178,-54.643944
179,-109.94677
180,-481.1188
181,-54.45324
182,-68.5862
183,-54.22736
184,-503.11792
185,-54.64155
186,-197.43059
187,-197.23398
188,-54.411453
189,-74536.586
190,-196.57812
191,-406.88892
192,-195.88693
193,-54.698174
194,-197.2815
195,-565.8493
196,-197.34001
197,-197.30547
198,-197.2084
199,-197.06894
200,-54.45735
201,-20102.541
202,-54.63253
203,-59.097057
204,-80.03032
205,-536.10913
206,-605.5337
207,-76.77336
208,-54.42782
209,-196.28369
210,-54.70729
211,-76.32404
212,-55.06338
213,-54.79104
214,-197.39276
215,-197.38438
216,-444.8239
217,-197.41621
218,-197.10579
219,-197.00986
220,-475.30316
221,-197.24086
222,-613.3172
223,-197.26706
224,-628.15466
225,-54.503555
226,-197.0301
227,-59.239555
228,-197.3573
229,-650.1052
230,-55.06076
231,-411.09613
232,-54.996937
233,-76.2005
234,-54.87553
235,-638.9852
236,-209.78331
237,-54.577682
238,-54.732944
239,-197.2745
240,-85.40077
241,-80.21196
242,-25397.422
243,-140.26898
244,-69.926155
245,-54.631397
246,-75.15762
247,-197.07857
248,-54.41751
249,-6885.0127
250,-197.42746
251,-54.400555
252,-59.382027
253,-54.83267
254,-197.38794
255,-54.598793
256,-259.1162
257,-547.34985
258,-54.558075
259,-54.74071
260,-54.41776
261,-563.1288
262,-54.347378
263,-89.58226
264,-537.79376
265,-65.0501
266,-54.432484
267,-196.47598
268,-64.892166
269,-451.87595
270,-197.21368
271,-197.00148
272,-373.62018
273,-197.24413
274,-60.365364
275,-197.30911
276,-197.02042
277,-548.52454
278,-68.127716
279,-527.46216
280,-64.89932
281,-77.766495
282,-55.175995
283,-54.83758
284,-59.553246
285,-485.71484
286,-427.64038
287,-54.659466
288,-197.24324
289,-197.44548
290,-54.47052
291,-197.04205
292,-197.3854
293,-197.11873
294,-444.667
295,-196.58113
296,-54.760403
297,-361.76904
298,-54.78717
299,-461.4096
300,-197.19987
301,-89.2206
302,-123.05165
303,-54.77396
304,-54.430847
305,-295.75696
306,-78.454254
307,-487.8436
308,-70.55931
309,-536.0852
310,-54.550365
311,-16414.121
312,-3289.896
313,-401.95706
314,-647.57587
315,-416.93222
316,-68.69699
317,-197.19714
318,-91.24428
319,-197.05475
320,-858.9922
321,-280.004
322,-454.21964
323,-468.01178
324,-197.41306
325,-197.22813
326,-196.86586
327,-54.55773
328,-59.180088
329,-197.4504
330,-197.33136
331,-561.2274
332,-122.22858
333,-54.460384
334,-54.578934
335,-55.063957
336,-54.57242
337,-195.38493
338,-55.122726
339,-182.31735
340,-404.3474
341,-54.831074
342,-634.74786
343,-59.63279
344,-453.9916
345,-373.18475
346,-569.2628
347,-71.78959
348,-54.365677
349,-62.559776
350,-196.76933
351,-54.58956
352,-54.755295
353,-54.61663
354,-197.27214
355,-82.998795
356,-54.894634
357,-72.40543
358,-197.1801
359,-206540.34
360,-386.97705
361,-173.96082
362,-2479.7725
363,-54.547047
364,-196.76486
365,-196.83502
366,-197.38528
367,-60.05049
368,-197.30228
369,-54.44391
370,-197.3163
371,-197.17508
372,-364.19528
373,-28963.252
374,-197.24792
375,-197.30875
376,-59.176773
377,-595.111
378,-7619.99
379,-197.15886
380,-197.38031
381,-54.61788
382,-54.528038
383,-54.642487
384,-197.08284
385,-82.97341
386,-481.05396
387,-460.7107
388,-197.08717
389,-54.503082
390,-54.648415
391,-133.29396
392,-196.79977
393,-197.29375
394,-54.396187
395,-196.92538
396,-54.202072
397,-473.08377
398,-197.10692
399,-614.22656
400,-197.32208
401,-63.53288
402,-54.45059
403,-197.13922
404,-196.92616
405,-197.18996
406,-155.23369
407,-54.932495
408,-197.13077
409,-197.2944
410,-197.26152
411,-430.53143
412,-54.609825
413,-64.48433
414,-113.29384
415,-72.79414
416,-196.8904
417,-54.605846
418,-197.04161
419,-197.0632
420,-54.401512
421,-682.358
422,-54.45961
423,-54.41383
424,-86.9906
425,-54.52262
426,-71.103806
427,-196.729
428,-54.288513
429,-196.4511
430,-54.476143
431,-450.03302
